type,title,director,country,release_year,age_rating,genre,rating,stars,votes,month_added,year_added,duration_min,seasons
Movie,the fisherman's diary,Enah Johnscott,Cameroon,2020,TV-MA,Dramas,6.4,Enah Johnscott,644,4,2021,143,0
Movie,concrete cowboy,Ricky Staub,United Kingdom,2021,R,Dramas,6.3,Ricky Staub,8843,4,2021,112,0
Movie,irul,Naseef Yusuf Izuddin,India,2021,TV-MA,International Movies,5.8,Naseef Yusuf Izuddin,3204,4,2021,91,0
Movie,just say yes,"Appie Boudellah, Aram van de Rest",Netherlands,2021,TV-MA,Comedies,4.5,Appie Boudellah,1990,4,2021,98,0
Movie,madame claude,Sylvie Verheyde,France,2021,TV-MA,Dramas,5.4,Sylvie Verheyde,3470,4,2021,113,0
Movie,legally blonde,Robert Luketic,United States,2001,PG-13,Comedies,6.4,Robert Luketic,216974,4,2021,96,0
Movie,s.w.a.t.: under siege,Tony Giglio,United States,2017,R,Action & Adventure,4.6,Tony Giglio,3793,4,2021,89,0
Movie,sniper: ghost shooter,Don Michael Paul,United States,2016,R,Action & Adventure,5.4,Don Michael Paul,4147,4,2021,99,0
Movie,takers,John Luessenhop,United States,2010,PG-13,Action & Adventure,6.2,John Luessenhop,62903,4,2021,107,0
TV Show,haunted: latin america,Adrián García Bogliano,United States,2021,TV-14,International TV Shows,5.3,Laura Tovar,588,3,2021,0,1
Movie,not a game,Jose Gomez,United Kingdom,2020,TV-MA,Documentaries,5.6,Jose Gomez,564,3,2021,98,0
Movie,a week away,Roman White,United States,2021,TV-PG,Children & Family Movies,5.7,Roman White,4749,3,2021,98,0
Movie,pagglait,Umesh Bist,India,2021,TV-PG,Comedies,6.9,Umesh Bist,9446,3,2021,114,0
Movie,caught by a wave,Massimiliano Camaiti,Italy,2021,TV-14,Dramas,5.8,Massimiliano Camaiti,1329,3,2021,100,0
Movie,secret magic control agency,Aleksey Tsitsilin,Russia,2021,TV-Y7,Children & Family Movies,6.2,Aleksey Tsitsilin,4166,3,2021,105,0
Movie,seaspiracy,Ali Tabrizi,United States,2021,TV-14,Documentaries,8.1,Ali Tabrizi,30963,3,2021,90,0
Movie,loyiso gola: unlearning,Kagiso Lediga,South Africa,2021,TV-MA,Stand-Up Comedy,6.0,Kagiso Lediga,207,3,2021,60,0
Movie,philomena,Stephen Frears,United Kingdom,2013,PG-13,Dramas,7.6,Stephen Frears,100206,3,2021,98,0
Movie,hospital,Brody Chu,Taiwan,2020,TV-MA,Horror Movies,3.1,Chia-Lin Chu,416,3,2021,90,0
Movie,deadly illusions,Anna Elizabeth James,United States,2021,R,Thrillers,3.7,Anna Elizabeth James,12204,3,2021,115,0
Movie,nate bargatze: the greatest average american,Troy Miller,United States,2021,TV-G,Stand-Up Comedy,7.3,Troy Miller,1412,3,2021,60,0
Movie,skylines,Liam O'Donnell,United Kingdom,2020,R,Action & Adventure,4.7,"""Liam ODonnell""",8294,3,2021,113,0
Movie,skylines,Liam O'Donnell,United Kingdom,2020,R,Action & Adventure,7.5,Peri Baumeister,2700,3,2021,113,0
Movie,the present,Farah Nabulsi,United Kingdom,2020,TV-MA,Dramas,7.6,Farah Nabulsi,3225,3,2021,24,0
TV Show,under suspicion: uncovering the wesphael case,Alain Brunard,Belgium,2021,TV-14,Crime TV Shows,6.3,Nadine Pirotton,761,3,2021,0,1
Movie,rebellcomedy: straight outta the zoo,Ladislaus Kiraly,Germany,2021,TV-MA,Stand-Up Comedy,4.6,Ladislaus Kiraly,44,3,2021,74,0
Movie,the bfg,Steven Spielberg,United States,2016,PG,Children & Family Movies,0.0,,0,3,2021,118,0
Movie,paper lives,Can Ulkay,Turkey,2021,TV-MA,Dramas,6.6,Can Ulkay,12227,3,2021,97,0
Movie,yes day,Miguel Arteta,United States,2021,PG,Children & Family Movies,5.7,Miguel Arteta,24184,3,2021,90,0
TV Show,dealer,"Ange Basterga, Nicolas Lopez",France,2021,TV-MA,Crime TV Shows,6.3,Jean Luc Herbulot,556,3,2021,0,1
TV Show,dealer,"Ange Basterga, Nicolas Lopez",France,2021,TV-MA,Crime TV Shows,6.1,Jean-Toussaint Bernard,685,3,2021,0,1
Movie,bombay rose,Gitanjali Rao,India,2021,PG-13,Dramas,6.3,Gitanjali Rao,664,3,2021,97,0
Movie,aelay,Halitha Shameem,India,2021,TV-14,Comedies,7.0,Halitha Shameem,694,3,2021,151,0
Movie,dogwashers,Carlos Moreno,Colombia,2021,TV-MA,Comedies,5.8,Carlos Moreno,612,3,2021,108,0
TV Show,nevenka: breaking the silence,Maribel Sánchez-Maroto,Spain,2021,TV-MA,Docuseries,6.9,Nevenka Fernández,687,3,2021,0,1
Movie,sentinelle,Julien Leclercq,France,2021,TV-MA,Action & Adventure,4.7,Julien Leclercq,7926,3,2021,81,0
Movie,mariposa,Fajar Bustomi,Indonesia,2020,TV-14,Comedies,6.9,Fajar Bustomi,743,3,2021,116,0
Movie,moxie,Amy Poehler,United States,2021,PG-13,Comedies,6.7,Amy Poehler,25588,3,2021,112,0
TV Show,murder among the mormons,"Jared Hess, Tyler Measom",United States,2021,TV-14,Crime TV Shows,7.0,Dorie Hofmann Olds,6493,3,2021,0,1
Movie,biggie: i got a story to tell,Emmett Malloy,United States,2021,R,Documentaries,6.8,Emmett Malloy,5115,3,2021,98,0
Movie,connected,Milton Kremer,Not Given,2021,TV-G,Documentaries,0.0,Latif Nasser,0,3,2021,42,0
Movie,crazy about her,Dani de la Orden,Spain,2021,TV-MA,Comedies,6.6,Dani de la Orden,5850,2,2021,107,0
Movie,the girl on the train,Ribhu Dasgupta,India,2021,TV-MA,International Movies,4.4,Ribhu Dasgupta,14592,2,2021,120,0
Movie,geez & ann,Rizki Balki,Indonesia,2021,TV-PG,Dramas,5.1,Rizki Balki,292,2,2021,106,0
Movie,brian regan: on the rocks,Troy Miller,United States,2021,TV-G,Stand-Up Comedy,6.8,Troy Miller,632,2,2021,58,0
Movie,made you look: a true story about fake art,Barry Avrich,Canada,2020,TV-14,Documentaries,7.0,Barry Avrich,4329,2,2021,90,0
Movie,pelé,"David Tryhorn, Ben Nicholas",United Kingdom,2021,TV-14,Documentaries,7.0,Ben Nicholas,4356,2,2021,109,0
Movie,classmates minus,Huang Hsin-Yao,Taiwan,2020,TV-MA,Comedies,7.1,Hsin-yao Huang,1669,2,2021,123,0
Movie,operation finale,Chris Weitz,United States,2018,PG-13,Dramas,6.6,Chris Weitz,42606,2,2021,123,0
Movie,i care a lot,J Blakeson,United Kingdom,2021,R,Comedies,6.3,J Blakeson,131838,2,2021,118,0
Movie,love,Khalid Rahman,India,2020,TV-14,Dramas,7.7,Gillian Jacobs,42755,2,2021,91,0
Movie,love,Khalid Rahman,India,2020,TV-14,Dramas,6.7,Sung Hoon,483,2,2021,91,0
Movie,perú: tesoro escondido,Luis Ara,Uruguay,2017,TV-PG,Documentaries,6.1,Luis Ara,535,2,2021,76,0
TV Show,pitta kathalu,"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy",India,2021,TV-MA,International TV Shows,5.1,Shruti Haasan,751,2,2021,0,1
Movie,animals on the loose: a you vs. wild movie,Ben Simms,United States,2021,TV-PG,Children & Family Movies,5.8,Ben Simms,967,2,2021,139,0
Movie,"my teacher, my obsession",Damián Romay,United States,2018,TV-14,Thrillers,4.4,Damián Romay,2407,2,2021,86,0
Movie,namaste wahala,Hamisha Daryani Ahuja,Nigeria,2021,TV-14,Comedies,5.1,Hamisha Daryani Ahuja,1567,2,2021,107,0
Movie,monsoon,Hong Khaou,United Kingdom,2020,TV-MA,Dramas,6.0,Hong Khaou,2102,2,2021,85,0
Movie,hate by dani rovira,Mario Briongos,Spain,2021,TV-MA,Stand-Up Comedy,6.7,Mario Briongos,432,2,2021,83,0
Movie,to all the boys: always and forever,Michael Fimognari,United States,2021,TV-14,Comedies,6.3,Michael Fimognari,26017,2,2021,116,0
Movie,xico's journey,Eric D. Cabello Díaz,Mexico,2021,TV-Y7,Children & Family Movies,5.1,Eric Cabello,557,2,2021,87,0
Movie,layla majnun,Monty Tiwa,Indonesia,2020,TV-14,Dramas,6.0,Monty Tiwa,280,2,2021,119,0
Movie,middle of nowhere,Ava DuVernay,United States,2012,R,Dramas,6.5,Ava DuVernay,1859,2,2021,102,0
Movie,red dot,Alain Darborg,Sweden,2021,TV-MA,International Movies,5.5,Alain Darborg,13476,2,2021,86,0
Movie,squared love,Filip Zylber,Poland,2021,TV-14,Comedies,5.1,Filip Zylber,3227,2,2021,102,0
TV Show,booba,Not Given,United Kingdom,2021,TV-Y7,Kids' TV,7.0,Roman Karev,428,2,2021,0,4
Movie,this is the life,Ava DuVernay,United States,2008,TV-MA,Documentaries,6.5,Ava DuVernay,266,2,2021,98,0
TV Show,crime scene: the vanishing at the cecil hotel,Joe Berlinger,United States,2021,TV-MA,Crime TV Shows,5.9,Tim Marcia,17958,2,2021,0,1
Movie,the misadventures of hedi and cokeman,Julien Royal,France,2021,TV-MA,Comedies,4.4,Julien Hollande,651,2,2021,99,0
Movie,little big women,Joseph Hsu,Taiwan,2020,TV-14,Dramas,7.2,Joseph Chen-Chieh Hsu,2392,2,2021,123,0
Movie,malcolm & marie,Sam Levinson,United States,2021,R,Dramas,6.6,Sam Levinson,37062,2,2021,106,0
Movie,space sweepers,Jo Sung-hee,South Korea,2021,TV-MA,Action & Adventure,6.5,Sung-hee Jo,25569,2,2021,138,0
Movie,"strip down, rise up",Michèle Ohayon,United States,2021,R,Documentaries,5.3,Michèle Ohayon,678,2,2021,113,0
Movie,the yin-yang master: dream of eternity,Guo Jingming,China,2021,TV-14,Action & Adventure,6.4,Jingming Guo,4847,2,2021,133,0
Movie,all my friends are dead,Jan Belcl,Poland,2020,TV-MA,Comedies,5.8,Jan Belcl,6412,2,2021,97,0
Movie,black beach,Esteban Crespo,Spain,2020,TV-MA,Action & Adventure,5.6,Esteban Crespo,1615,2,2021,116,0
TV Show,the house arrest of us,Richard Arellano,Philippines,2020,TV-MA,International TV Shows,5.5,Kathryn Bernardo,124,2,2021,0,1
Movie,below zero,Lluís Quílez,Spain,2021,TV-MA,Action & Adventure,6.2,Lluís Quílez,19509,1,2021,107,0
Movie,the dig,Simon Stone,United Kingdom,2021,PG-13,Dramas,7.1,Simon Stone,74270,1,2021,113,0
Movie,accomplice,Jeremy Grant,United States,2021,TV-14,Documentaries,7.2,Jeremy Grant,393,1,2021,52,0
Movie,penguin bloom,Glendyn Ivin,Australia,2021,TV-14,Children & Family Movies,6.8,Glendyn Ivin,10454,1,2021,95,0
Movie,the next three days,Paul Haggis,United States,2010,PG-13,Dramas,7.3,Paul Haggis,197126,1,2021,133,0
Movie,the white tiger,Ramin Bahrani,India,2021,R,Dramas,7.1,Ramin Bahrani,60169,1,2021,127,0
Movie,sightless,Cooper Karl,United States,2020,TV-14,Thrillers,5.5,Cooper Karl,8629,1,2021,89,0
Movie,homefront,Gary Fleder,United States,2013,R,Action & Adventure,6.5,Gary Fleder,120729,1,2021,100,0
Movie,radium girls,"Lydia Dean Pilcher, Ginny Mohler",United States,2018,TV-14,Dramas,6.2,Lydia Dean Pilcher,1907,1,2021,103,0
Movie,double dad,Cris D'Amato,Brazil,2020,TV-G,Children & Family Movies,5.6,"""Cris DAmato""",1312,1,2021,105,0
Movie,outside the wire,Mikael Håfström,Hungary,2021,R,Action & Adventure,5.4,Mikael Håfström,42472,1,2021,116,0
Movie,chris rock total blackout: the tamborine extended cut,Chris Rock,Not Given,2021,TV-MA,Stand-Up Comedy,7.0,Chris Rock,380,1,2021,98,0
Movie,what would sophia loren do?,Ross Kauffman,United States,2021,TV-14,Documentaries,6.6,Ross Kauffman,738,1,2021,32,0
Movie,wish you,Sung Do-jun,South Korea,2021,TV-PG,Dramas,6.4,Do Joon Sung,970,1,2021,102,0
Movie,the heartbreak club,"Charles Gozali, Bagus Bramanti",Indonesia,2020,TV-14,Comedies,6.3,Bagus Bramanti,200,1,2021,101,0
TV Show,night stalker: the hunt for a serial killer,Tiller Russell,United States,2021,TV-MA,Crime TV Shows,7.5,Paul Skolnick,25727,1,2021,0,1
Movie,"crack: cocaine, corruption & conspiracy",Stanley Nelson,United States,2021,TV-MA,Documentaries,6.7,Stanley Nelson,3423,1,2021,90,0
Movie,charming,Ross Venokur,Canada,2021,TV-Y7,Children & Family Movies,5.6,Ross Venokur,3566,1,2021,85,0
TV Show,the idhun chronicles,Maite Ruiz De Austri,Spain,2021,TV-14,Anime Series,5.4,Itzan Escamilla,585,1,2021,0,2
Movie,pieces of a woman,Kornél Mundruczó,Canada,2020,R,Dramas,7.0,Kornél Mundruczó,49524,1,2021,128,0
Movie,tony parker: the final shot,Florent Bodin,France,2020,TV-14,Documentaries,6.8,Florent Bodin,1436,1,2021,99,0
Movie,asphalt burning,Hallvard Bræin,Norway,2020,TV-14,Action & Adventure,5.1,Hallvard Bræin,2375,1,2021,101,0
Movie,the creative brain,"Jennifer Beamish, Toby Trackman",United States,2019,TV-14,Documentaries,6.3,Jennifer Beamish,959,1,2021,53,0
Movie,unknown,Jaume Collet-Serra,United Kingdom,2011,PG-13,Action & Adventure,6.8,Jaume Collet-Serra,261643,1,2021,113,0
Movie,what happened to mr. cha?,Kim Dong-kyu,South Korea,2021,TV-MA,Comedies,4.3,Dong-kyu Kim,362,1,2021,102,0
Movie,tarung sarung,Archie Hekagery,Indonesia,2020,TV-PG,Action & Adventure,6.0,Archie Hekagery,203,12,2020,116,0
Movie,too handsome to handle,Sabrina Rochelle Kalangie,Indonesia,2019,TV-14,Comedies,6.7,Sabrina Rochelle Kalangie,588,12,2020,106,0
TV Show,sanpa: sins of the savior,Cosima Spender,Italy,2020,TV-MA,Crime TV Shows,7.8,Vincenzo Andreucci,1547,12,2020,0,1
Movie,the rope curse 2,Liao Shih-han,Taiwan,2020,TV-MA,Horror Movies,4.7,Shih-Han Liao,371,12,2020,105,0
Movie,cops and robbers,"Arnon Manor, Timothy Ware-Hill",United States,2020,PG-13,Dramas,6.7,Arnon Manor,727,12,2020,8,0
Movie,rango,Gore Verbinski,United States,2011,PG,Children & Family Movies,7.2,Gore Verbinski,264146,12,2020,110,0
Movie,death to 2020,"Al Campbell, Alice Mathias",United States,2020,TV-MA,Comedies,6.8,Al Campbell,38711,12,2020,71,0
Movie,dna,Maïwenn,France,2020,TV-MA,Dramas,6.0,Maïwenn,1080,12,2020,91,0
Movie,the magic school bus rides again in the zone,Richard Weston,Canada,2020,TV-Y,Children & Family Movies,5.8,Richard Weston,61,12,2020,46,0
Movie,ak vs ak,Vikramaditya Motwane,India,2020,TV-MA,Comedies,6.9,Vikramaditya Motwane,14362,12,2020,109,0
Movie,we can be heroes,Robert Rodriguez,United States,2020,PG,Children & Family Movies,4.7,Robert Rodriguez,14971,12,2020,101,0
Movie,the midnight sky,George Clooney,United States,2020,PG-13,Dramas,5.6,George Clooney,83059,12,2020,119,0
Movie,your name engraved herein,Liu Kuang-hui,Taiwan,2020,TV-MA,Dramas,7.2,Kuang-Hui Liu,6194,12,2020,115,0
Movie,"ariana grande: excuse me, i love you",Paul Dugdale,United States,2020,TV-MA,Documentaries,6.3,Story Syndicate,2642,12,2020,98,0
Movie,ma rainey's black bottom,George C. Wolfe,United States,2020,R,Dramas,6.9,George C. Wolfe,52538,12,2020,94,0
TV Show,paava kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran",India,2020,TV-MA,International TV Shows,8.1,Prakash Raj,6790,12,2020,0,1
Movie,an unremarkable christmas,Juan Camilo Pinzon,Colombia,2020,TV-14,Comedies,3.2,Juan Camilo Pinzon,142,12,2020,83,0
TV Show,break it all: the history of rock in latin america,Picky Talarico,Not Given,2020,TV-MA,Docuseries,7.6,Gustavo Santaolalla,1250,12,2020,0,1
TV Show,schulz saves america,Alexx Media,United States,2020,TV-MA,Stand-Up Comedy & Talk Shows,7.3,Andrew Schulz,1130,12,2020,0,1
TV Show,anitta: made in honório,"Andrucha Waddington, Pedro Waddington",Brazil,2020,TV-MA,Docuseries,6.9,Anitta,414,12,2020,0,1
TV Show,the ripper,"Ellena Wood, Jesse Vile",United Kingdom,2020,TV-MA,British TV Shows,7.1,Alan Whitehouse,9637,12,2020,0,1
Movie,vir das: outside in - the lockdown special,Vir Das,India,2020,TV-MA,Stand-Up Comedy,6.5,Vir Das,273,12,2020,50,0
Movie,a trash truck christmas,Eddie Rosas,Not Given,2020,TV-Y,Children & Family Movies,5.6,Eddie Rosas,217,12,2020,28,0
Movie,the professor and the madman,Farhad Safinia,Ireland,2019,TV-14,Dramas,7.2,Farhad Safinia,46052,12,2020,125,0
Movie,a california christmas,Shaun Paul Piccinino,United States,2020,PG-13,Comedies,5.8,Shaun Paul Piccinino,9930,12,2020,107,0
Movie,canvas,Frank E. Abney III,United States,2020,G,Children & Family Movies,6.4,Frank E. Abney III,2746,12,2020,9,0
Movie,giving voice,"James D. Stern, Fernando Villena",United States,2020,PG-13,Documentaries,6.9,James D. Stern,294,12,2020,91,0
Movie,the prom,Ryan Murphy,United States,2020,PG-13,Comedies,5.9,Ryan Murphy,27218,12,2020,132,0
Movie,torbaaz,Girish Malik,India,2020,TV-MA,Dramas,6.8,Girish Malik,17926,12,2020,133,0
TV Show,song exploder,Not Given,United States,2020,TV-MA,Docuseries,7.4,Hrishikesh Hirway,794,12,2020,0,2
Movie,funny boy,Deepa Mehta,Canada,2020,TV-MA,Dramas,6.5,Deepa Mehta,923,12,2020,109,0
Movie,chico bon bon and the very berry holiday,Darragh O'Connell,Not Given,2020,TV-Y,Children & Family Movies,6.0,"""Darragh OConnell""",40,12,2020,25,0
Movie,rose island,Sydney Sibilia,Italy,2020,TV-14,Comedies,7.0,Sydney Sibilia,21001,12,2020,119,0
Movie,andré & his olive tree,Josiah Ng,Singapore,2020,TV-PG,Documentaries,6.7,Josiah Ng,210,12,2020,104,0
Movie,spirit riding free: ride along adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton",United States,2020,TV-Y7,Children & Family Movies,6.0,Allan Jacobsen,64,12,2020,79,0
Movie,triple 9,John Hillcoat,United States,2016,R,Dramas,6.3,John Hillcoat,72474,12,2020,115,0
TV Show,room 2806: the accusation,Jalil Lespert,France,2020,TV-MA,Crime TV Shows,7.0,Nafissatou Diallo,2348,12,2020,0,1
TV Show,detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi",Taiwan,2020,TV-MA,International TV Shows,6.3,Lee Ling-Wei,534,12,2020,0,1
Movie,mighty express: a mighty christmas,Clint Butler,Canada,2020,TV-Y,Children & Family Movies,4.8,Clint Butler,48,12,2020,26,0
Movie,christmas crossfire,Detlev Buck,Germany,2020,TV-MA,Comedies,4.8,Detlev Buck,1404,12,2020,106,0
Movie,mank,David Fincher,United States,2020,R,Dramas,6.8,David Fincher,74186,12,2020,133,0
Movie,you are my home,Amanda Raymond,United States,2020,TV-PG,Children & Family Movies,6.6,Amanda Raymond,548,12,2020,93,0
Movie,break,Marc Fouchard,France,2018,TV-MA,Comedies,5.8,Marc Fouchard,1204,12,2020,96,0
Movie,just another christmas,Roberto Santucci,Brazil,2020,TV-MA,Comedies,6.7,Roberto Santucci,4558,12,2020,101,0
Movie,ari eldjárn: pardon my icelandic,August Jakobsson,Iceland,2020,TV-MA,Stand-Up Comedy,7.8,August Jakobsson,1581,12,2020,54,0
Movie,fierce,Anna Wieczur-Bluszcz,Poland,2020,TV-MA,Comedies,5.5,Anna Wieczur-Bluszcz,1266,12,2020,118,0
Movie,angela's christmas wish,Damien O’Connor,United States,2020,TV-Y,Children & Family Movies,7.0,"""Damien OConnor""",1467,12,2020,48,0
Movie,natalie palamides: nate - a one man show,Phil Burgers,United States,2020,TV-MA,Comedies,6.5,Phil Burgers,375,12,2020,60,0
Movie,hazel brugger: tropical,Not Given,Germany,2020,TV-MA,Stand-Up Comedy,6.2,J. Patrick Arbeiter,424,12,2020,58,0
Movie,finding agnes,Marla M. Ancheta,Philippines,2020,TV-PG,Dramas,5.0,Marla Ancheta,158,11,2020,106,0
Movie,rust creek,Jen McGowan,United States,2018,R,Thrillers,5.9,Jen McGowan,11778,11,2020,108,0
Movie,a go! go! cory carson christmas,"Stanley Moore, Alex Woo",United States,2020,TV-Y,Children & Family Movies,6.1,Stanley Moore,51,11,2020,22,0
Movie,dance dreams: hot chocolate nutcracker,Oliver Bokelberg,United States,2020,TV-PG,Children & Family Movies,7.0,Oliver Bokelberg,344,11,2020,81,0
Movie,notes for my son,Carlos Sorín,Argentina,2020,TV-MA,Dramas,6.4,Carlos Sorin,943,11,2020,84,0
Movie,the beast,Ludovico Di Martino,Italy,2020,TV-MA,Action & Adventure,5.2,Ludovico Di Martino,4377,11,2020,100,0
Movie,the call,Lee Chung-hyun,South Korea,2020,TV-MA,International Movies,7.1,Chung-Hyun Lee,32424,11,2020,112,0
Movie,larry the cable guy: remain seated,Brian Volk-Weiss,United States,2020,TV-14,Stand-Up Comedy,6.6,Brian Volk-Weiss,272,11,2020,68,0
Movie,mosul,Matthew Michael Carnahan,United States,2020,TV-MA,Action & Adventure,7.1,Matthew Michael Carnahan,26840,11,2020,103,0
Movie,shawn mendes: live in concert,Paul Dugdale,United Kingdom,2020,TV-PG,Music & Musicals,7.2,Paul Dugdale,335,11,2020,87,0
Movie,the christmas chronicles: part two,Chris Columbus,Canada,2020,PG,Children & Family Movies,6.0,Chris Columbus,29764,11,2020,115,0
Movie,dragons: rescue riders: huttsgalor holiday,"Greg Rankin, TJ Sullivan",United States,2020,TV-Y,Children & Family Movies,5.2,Greg Rankin,126,11,2020,46,0
Movie,hillbilly elegy,Ron Howard,United States,2020,R,Dramas,6.7,Ron Howard,42262,11,2020,117,0
Movie,shawn mendes: in wonder,Grant Singer,United States,2020,TV-MA,Documentaries,6.5,Grant Singer,2078,11,2020,83,0
Movie,alien xmas,Stephen Chiodo,United States,2020,TV-Y,Children & Family Movies,6.2,Stephen Chiodo,1300,11,2020,42,0
Movie,if anything happens i love you,"Will McCormack, Michael Govier",United States,2020,PG,Dramas,7.8,Michael Govier,16567,11,2020,13,0
Movie,the app that stole christmas,Monica Floyd,United States,2020,TV-PG,Children & Family Movies,3.6,Monica Floyd,733,11,2020,64,0
Movie,bodyguard,Siddique,India,2011,TV-14,Action & Adventure,8.1,Richard Madden,121426,11,2020,130,0
Movie,bodyguard,Siddique,India,2011,TV-14,Action & Adventure,4.7,Siddique,26121,11,2020,130,0
Movie,te3n,Ribhu Dasgupta,India,2016,TV-14,Dramas,7.2,Ribhu Dasgupta,13124,11,2020,128,0
Movie,the princess switch: switched again,Mike Rohl,United States,2020,TV-G,Children & Family Movies,5.4,Mike Rohl,11579,11,2020,97,0
Movie,kevin hart: zero f**ks given,Leslie Small,United States,2020,TV-MA,Stand-Up Comedy,6.0,Leslie Small,3481,11,2020,70,0
Movie,cloudy with a chance of meatballs 2,"Cody Cameron, Kris Pearn",United States,2013,PG,Children & Family Movies,6.3,Cody Cameron,103309,11,2020,95,0
TV Show,a queen is born,Carla Barros,Brazil,2020,TV-14,International TV Shows,6.1,Phillip Jordan,152,11,2020,0,1
Movie,fukrey boyzzz: space mein fukrapanti,Avinash Walzade,India,2020,TV-Y7,Children & Family Movies,7.9,Avinash Walzade,15,11,2020,75,0
Movie,jingle jangle: a christmas journey,David E. Talbert,United States,2020,PG,Children & Family Movies,6.4,David E. Talbert,18518,11,2020,124,0
Movie,the life ahead,Edoardo Ponti,Italy,2020,PG-13,Dramas,6.8,Edoardo Ponti,14298,11,2020,95,0
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.6,Luis Tosar,4226,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,7.1,Mateo Gil,175,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.9,Mateo Gil,147,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.9,Mateo Gil,136,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.8,Mateo Gil,120,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.9,Mateo Gil,132,11,2020,0,1
TV Show,the minions of midas,Mateo Gil,Spain,2020,TV-MA,Crime TV Shows,6.4,Mateo Gil,133,11,2020,0,1
Movie,first love,Paul Soriano,Philippines,2018,TV-MA,Dramas,0.0,Minami,0,11,2020,123,0
Movie,ludo,Anurag Basu,India,2020,TV-MA,Comedies,7.6,Anurag Basu,39347,11,2020,150,0
Movie,ludo,Anurag Basu,India,2020,TV-MA,Comedies,2.8,Qaushiq Mukherjee,870,11,2020,150,0
Movie,what we wanted,Ulrike Kofler,Austria,2020,TV-MA,Dramas,5.9,Ulrike Kofler,1837,11,2020,93,0
Movie,citation,Kunle Afolayan,Nigeria,2020,TV-MA,Dramas,6.1,Kunle Afolayan,981,11,2020,151,0
Movie,girl's revenge,Weica Wang,Taiwan,2020,TV-MA,Dramas,5.7,Weica Wang,211,11,2020,82,0
Movie,the endless trench,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",Spain,2019,TV-MA,Dramas,7.2,Aitor Arregi,6519,11,2020,148,0
Movie,a new york christmas wedding,Otoja Abit,United States,2020,TV-MA,Dramas,5.3,Otoja Abit,1135,11,2020,90,0
TV Show,carmel: who killed maria marta?,Alejandro Hartmann,Argentina,2020,TV-14,Crime TV Shows,7.0,Diego Molina Pico,2515,11,2020,0,1
Movie,midnight at the magnolia,Maxwell McGuire,Canada,2020,TV-G,Comedies,5.8,Max McGuire,5430,11,2020,87,0
Movie,operation christmas drop,Martin Wood,United States,2020,TV-G,Children & Family Movies,5.8,Martin Wood,11578,11,2020,96,0
Movie,miss india,Narendra Nath,India,2020,TV-PG,Dramas,3.6,Narendra Nath,2130,11,2020,136,0
Movie,felix lobrecht: hype,Jan-Peter Horns,Germany,2020,TV-MA,Stand-Up Comedy,5.9,Jan-Peter Horns,270,11,2020,60,0
Movie,mother,Tatsushi Omori,Japan,2020,TV-14,Dramas,6.8,Tatsushi Ômori,2900,11,2020,127,0
Movie,mother,Tatsushi Omori,Japan,2020,TV-14,Dramas,5.6,Aaron Burns,1517,11,2020,127,0
Movie,the impossible,J.A. Bayona,Spain,2012,PG-13,Dramas,7.5,J.A. Bayona,223356,11,2020,114,0
Movie,wheels of fortune,Shaun Paul Piccinino,United States,2020,R,Comedies,5.4,Shaun Paul Piccinino,831,11,2020,107,0
Movie,his house,Remi Weekes,United Kingdom,2020,TV-14,Horror Movies,6.5,Remi Weekes,41196,10,2020,93,0
Movie,kaali khuhi,Terrie Samundra,India,2020,TV-14,Horror Movies,3.5,Terrie Samundra,1258,10,2020,91,0
Movie,rogue city,Olivier Marchal,France,2020,TV-MA,Dramas,6.1,Olivier Marchal,8789,10,2020,116,0
Movie,holidate,John Whitesell,United States,2020,TV-MA,Comedies,6.1,John Whitesell,64848,10,2020,105,0
Movie,nobody sleeps in the woods tonight,Bartosz M. Kowalski,Poland,2020,TV-MA,Horror Movies,4.9,Bartosz M. Kowalski,11895,10,2020,103,0
Movie,secrets of the saqqara tomb,James Tovell,United States,2020,TV-PG,Documentaries,7.2,Ibrahim Elhefnawy,6434,10,2020,114,0
Movie,sarah cooper: everything's fine,Natasha Lyonne,United States,2020,TV-MA,Comedies,5.5,Natasha Lyonne,1740,10,2020,50,0
TV Show,the devil punisher,"Chang Chin-jung, Chen Rong-hui",Taiwan,2020,TV-14,International TV Shows,5.8,Shuo-Han Wang,169,10,2020,0,1
TV Show,move,"Thierry Demaizière, Alban Teurlai",United States,2020,TV-MA,Docuseries,7.4,Lani Yamanaka,120,10,2020,0,1
